expert,strong_consensus_class,proposed_class,support,wrong_to_correct,correct_to_wrong,both_correct,both_wrong,net,patch_precision,strong_conditional_accuracy,candidate_conditional_accuracy,oracle_conditional_accuracy,is_h1,is_h2,is_h3,predeclared
sni,oligodendrocyte_progenitor_1,oligodendrocyte_1,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_progenitor_1,oligodendrocyte_2,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_progenitor_1,oligodendrocyte_precursor_cell,16,1,15,0,0,-14,0.0625,0.9375,0.0625,1.0,False,False,False,False
sni,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_1,1,0,0,1,0,0,,1.0,1.0,1.0,False,False,False,False
sni,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_2,1,0,1,0,0,-1,0.0,1.0,0.0,1.0,False,False,False,False
sni,oligodendrocyte_progenitor_2,oligodendrocyte_1,8,2,5,0,1,-3,0.2857142857142857,0.625,0.25,0.875,False,False,False,False
sni,oligodendrocyte_progenitor_2,oligodendrocyte_2,12,1,10,0,1,-9,0.09090909090909091,0.8333333333333334,0.08333333333333333,0.9166666666666666,False,False,False,False
sni,oligodendrocyte_progenitor_2,oligodendrocyte_precursor_cell,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_1,0,0,0,0,0,0,,,,,False,False,False,False
sni,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,646,0,0,494,152,0,,0.7647058823529411,0.7647058823529411,0.7647058823529411,False,False,False,False
